make,model,year,price,mileage,body_type,cylinders,transmission,fuel_type,color,location,description
volvo,xc90,2012,15223.0,146967,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2012 volvo xc90 with Adaptive cruise control, Rear camera, Navigation system, Bluetooth. Condition: Repainted bumper."
ford,mustang,2011,29763.0,77587,Coupe,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 ford mustang with Sunroof, Leather seats, Bluetooth, Navigation system. Condition: Minor scratches."
porsche,carrera,2007,871810.0,150488,Sports Car,6,Automatic Transmission,Gasoline,White, Dubai,"2007 porsche carrera with Bluetooth, Leather seats, Rear camera. Condition: Dented door."
mercedes-benz,cls-class,2005,185000.0,132083,Sedan,8,Automatic Transmission,Gasoline,Silver, Ajman,"2005 mercedes-benz cls-class with Sunroof, Adaptive cruise control, Leather seats. Condition: Minor scratches."
ford,edge,2007,35530.0,286444,SUV,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2007 ford edge with Rear camera, Sunroof, Navigation system. Condition: Engine repaired."
mercedes-benz,viano,2010,62051.0,100452,Other,6,Automatic Transmission,Diesel,Black, Sharjah,"2010 mercedes-benz viano with Leather seats, Rear camera. Condition: Repainted bumper."
porsche,panamera,2007,92682.0,239971,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2007 porsche panamera with Bluetooth, Navigation system, Leather seats, Adaptive cruise control. Condition: No damage."
audi,s3rs3,2016,101982.0,56818,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2016 audi s3rs3 with Bluetooth, Navigation system. Condition: Dented door."
mercedes-benz,gle-class,2019,258239.0,263002,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2019 mercedes-benz gle-class with Leather seats, Rear camera. Condition: Dented door."
lexus,rx-series,2007,132610.0,284306,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2007 lexus rx-series with Rear camera, Leather seats. Condition: No damage."
volkswagen,touareg,2024,69880.0,63015,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 volkswagen touareg with Adaptive cruise control, Navigation system, Leather seats, Sunroof. Condition: Engine repaired."
ford,other,2012,197744.0,263093,Other,8,Automatic Transmission,Gasoline,Blue, Dubai,"2012 ford other with Leather seats, Navigation system, Adaptive cruise control. Condition: Dented door."
porsche,macan,2013,197106.0,213839,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 porsche macan with Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
toyota,land-cruiser,2008,70615.0,236551,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2008 toyota land-cruiser with Navigation system, Rear camera, Adaptive cruise control, Leather seats. Condition: Repainted bumper."
toyota,yaris,2024,45889.0,131280,Hatchback,4,Automatic Transmission,Gasoline,Teal, Dubai,"2024 toyota yaris with Navigation system, Leather seats. Condition: No damage."
porsche,panamera,2011,75539.0,188810,Sedan,6,Automatic Transmission,Gasoline,Blue, Dubai,"2011 porsche panamera with Bluetooth, Adaptive cruise control, Sunroof. Condition: Accident history."
porsche,cayman,2006,75851.0,263383,Coupe,6,Automatic Transmission,Gasoline,Green, Dubai,"2006 porsche cayman with Sunroof, Bluetooth, Leather seats, Adaptive cruise control. Condition: Dented door."
porsche,macan,2012,138352.0,281136,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2012 porsche macan with Sunroof, Adaptive cruise control. Condition: Minor scratches."
toyota,hilux,2016,66371.0,46639,SUV,4,Automatic Transmission,Gasoline,White, Sharjah,"2016 toyota hilux with Bluetooth, Navigation system, Leather seats. Condition: Engine repaired."
jeep,wrangler-unlimited,2021,429156.0,175237,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 jeep wrangler-unlimited with Adaptive cruise control, Sunroof, Navigation system. Condition: Accident history."
audi,q3,2012,40249.0,214797,SUV,4,Manual Transmission,Gasoline,Gold, Dubai,"2012 audi q3 with Sunroof, Adaptive cruise control. Condition: Accident history."
toyota,camry,2019,100949.0,215957,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2019 toyota camry with Sunroof, Leather seats, Navigation system. Condition: No damage."
mitsubishi,pajero,2022,56885.0,54506,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mitsubishi pajero with Leather seats, Rear camera, Navigation system. Condition: Accident history."
bentley,continental-gt,2013,1154915.0,225221,Soft Top Convertible,12,Automatic Transmission,Gasoline,Blue, Dubai,"2013 bentley continental-gt with Leather seats, Adaptive cruise control. Condition: Dented door."
mitsubishi,lancer,2016,35385.0,181787,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2016 mitsubishi lancer with Bluetooth, Rear camera, Navigation system, Sunroof. Condition: Accident history."
mercedes-benz,g-class,2011,827930.0,291173,Wagon,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2011 mercedes-benz g-class with Sunroof, Navigation system. Condition: Accident history."
jeep,wrangler-unlimited,2006,107614.0,66979,SUV,6,Automatic Transmission,Gasoline,Green, Dubai,"2006 jeep wrangler-unlimited with Adaptive cruise control, Navigation system, Sunroof, Rear camera. Condition: No damage."
toyota,hilux,2012,122916.0,142058,Pick Up Truck,4,Manual Transmission,Diesel,Black, Dubai,"2012 toyota hilux with Rear camera, Navigation system, Adaptive cruise control. Condition: Repainted bumper."
rolls-royce,dawn,2017,999336.0,163580,Soft Top Convertible,12,Automatic Transmission,Gasoline,Black, Dubai,"2017 rolls-royce dawn with Navigation system, Sunroof, Bluetooth. Condition: Minor scratches."
lotus,evora,2021,182937.0,135445,Sports Car,6,Automatic Transmission,Gasoline,White, Dubai,"2021 lotus evora with Adaptive cruise control, Sunroof, Navigation system, Bluetooth. Condition: Repainted bumper."
bmw,3-series,2012,220099.0,111144,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2012 bmw 3-series with Rear camera, Sunroof. Condition: No damage."
jeep,gladiator,2006,249533.0,298500,Pick Up Truck,6,Automatic Transmission,Gasoline,Grey, Dubai,"2006 jeep gladiator with Rear camera, Sunroof, Bluetooth, Navigation system. Condition: Accident history."
bmw,4-series,2017,60881.0,202969,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2017 bmw 4-series with Rear camera, Leather seats. Condition: No damage."
mercedes-benz,s-class,2017,605975.0,104315,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2017 mercedes-benz s-class with Sunroof, Navigation system, Adaptive cruise control. Condition: Accident history."
hyundai,sonata,2024,28766.0,53411,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah,"2024 hyundai sonata with Sunroof, Leather seats. Condition: Engine repaired."
maserati,ghibli,2017,302282.0,78475,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2017 maserati ghibli with Rear camera, Bluetooth, Navigation system, Adaptive cruise control. Condition: Minor scratches."
ford,f-series-pickup,2010,178456.0,100185,Pick Up Truck,6,Automatic Transmission,Gasoline,Black, Dubai,"2010 ford f-series-pickup with Rear camera, Adaptive cruise control, Bluetooth. Condition: No damage."
mercedes-benz,cls-class,2005,83666.0,210841,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2005 mercedes-benz cls-class with Leather seats, Navigation system. Condition: Engine repaired."
dodge,challenger,2005,79301.0,239453,Sports Car,6,Automatic Transmission,Gasoline,Silver, Dubai,"2005 dodge challenger with Rear camera, Sunroof, Bluetooth, Navigation system. Condition: Accident history."
chevrolet,camaro,2021,55953.0,158172,Soft Top Convertible,6,Automatic Transmission,Diesel,Yellow, Dubai,"2021 chevrolet camaro with Navigation system, Rear camera, Bluetooth. Condition: Dented door."
nissan,x-trail,2005,13889.0,291320,SUV,4,Automatic Transmission,Gasoline,Gold, Dubai,"2005 nissan x-trail with Leather seats, Adaptive cruise control, Navigation system, Sunroof. Condition: Dented door."
mercedes-benz,c-class,2009,43091.0,274881,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2009 mercedes-benz c-class with Navigation system, Adaptive cruise control, Rear camera, Sunroof. Condition: Dented door."
mercedes-benz,e-class,2011,61365.0,16731,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2011 mercedes-benz e-class with Navigation system, Sunroof, Bluetooth. Condition: No damage."
nissan,pathfinder,2015,68750.0,205357,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2015 nissan pathfinder with Navigation system, Bluetooth, Leather seats. Condition: Dented door."
dodge,charger,2007,61014.0,253677,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2007 dodge charger with Navigation system, Adaptive cruise control. Condition: Repainted bumper."
kia,soul,2005,19937.0,66178,Hatchback,4,Automatic Transmission,Gasoline,Red, Dubai,"2005 kia soul with Leather seats, Navigation system, Rear camera. Condition: Dented door."
bmw,7-series,2018,390029.0,92372,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2018 bmw 7-series with Bluetooth, Sunroof, Rear camera, Leather seats. Condition: Engine repaired."
lincoln,mkz,2011,55143.0,63836,Sedan,4,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2011 lincoln mkz with Bluetooth, Rear camera, Sunroof. Condition: Engine repaired."
porsche,cayenne,2016,224300.0,209717,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2016 porsche cayenne with Rear camera, Bluetooth, Adaptive cruise control. Condition: No damage."
volkswagen,golfr,2016,73850.0,137671,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2016 volkswagen golfr with Leather seats, Sunroof, Navigation system. Condition: No damage."
mercedes-benz,s-class,2023,74127.0,127587,Sedan,8,Automatic Transmission,Gasoline,Brown, Dubai,"2023 mercedes-benz s-class with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Dented door."
ford,taurus,2008,26427.0,235355,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2008 ford taurus with Bluetooth, Rear camera. Condition: No damage."
mercedes-benz,r-class,2011,68676.0,15100,Hatchback,6,Automatic Transmission,Gasoline,White, Dubai,"2011 mercedes-benz r-class with Leather seats, Adaptive cruise control. Condition: Repainted bumper."
bentley,continental-gt,2023,1656836.0,268743,Soft Top Convertible,12,Automatic Transmission,Gasoline,Green, Dubai,"2023 bentley continental-gt with Bluetooth, Rear camera, Navigation system, Leather seats. Condition: Minor scratches."
mercedes-benz,e-class,2019,58767.0,256840,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2019 mercedes-benz e-class with Sunroof, Bluetooth, Rear camera, Leather seats. Condition: No damage."
chevrolet,corvette,2011,375800.0,269696,Sports Car,8,Automatic Transmission,Gasoline,Red, Sharjah,"2011 chevrolet corvette with Navigation system, Sunroof, Leather seats, Adaptive cruise control. Condition: Accident history."
ford,mustang,2023,44126.0,195004,Sports Car,6,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2023 ford mustang with Adaptive cruise control, Bluetooth. Condition: Engine repaired."
mercedes-benz,g-class,2014,860833.0,54012,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2014 mercedes-benz g-class with Rear camera, Leather seats, Adaptive cruise control, Sunroof. Condition: Accident history."
land-rover,range-rover-sport,2008,603116.0,56080,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2008 land-rover range-rover-sport with Sunroof, Leather seats. Condition: No damage."
land-rover,defender,2015,373310.0,104771,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2015 land-rover defender with Sunroof, Bluetooth, Rear camera, Leather seats. Condition: Engine repaired."
nissan,armada,2012,20990.0,33607,SUV,8,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2012 nissan armada with Sunroof, Navigation system, Leather seats. Condition: Dented door."
toyota,land-cruiser,2020,291474.0,33398,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2020 toyota land-cruiser with Navigation system, Sunroof, Adaptive cruise control, Bluetooth. Condition: Minor scratches."
mercedes-benz,gle-coupe,2007,522102.0,234557,Sports Car,8,Automatic Transmission,Gasoline,Black, Dubai,"2007 mercedes-benz gle-coupe with Adaptive cruise control, Rear camera. Condition: No damage."
hyundai,santa-fe,2010,115476.0,174967,SUV,5,Automatic Transmission,Gasoline,Brown, Dubai,"2010 hyundai santa-fe with Sunroof, Adaptive cruise control, Bluetooth, Navigation system. Condition: Engine repaired."
jeep,grand-cherokee,2014,171351.0,260020,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2014 jeep grand-cherokee with Leather seats, Navigation system. Condition: No damage."
nissan,armada,2014,62169.0,286624,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2014 nissan armada with Leather seats, Bluetooth. Condition: No damage."
bmw,x5,2017,66073.0,162769,SUV,8,Automatic Transmission,Gasoline,Brown, Dubai,"2017 bmw x5 with Rear camera, Navigation system. Condition: Repainted bumper."
ford,f-series-pickup,2006,97605.0,296536,Pick Up Truck,6,Automatic Transmission,Gasoline,Black, Dubai,"2006 ford f-series-pickup with Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
hyundai,sonata,2008,57657.0,214776,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah,"2008 hyundai sonata with Bluetooth, Rear camera, Leather seats, Adaptive cruise control. Condition: No damage."
kia,rio,2020,25079.0,90686,Sedan,6,Automatic Transmission,Gasoline,Red, Dubai,"2020 kia rio with Rear camera, Sunroof, Navigation system. Condition: No damage."
mercedes-benz,g-class,2022,1049186.0,222187,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz g-class with Adaptive cruise control, Sunroof, Leather seats. Condition: No damage."
mercedes-benz,s-class,2009,1256404.0,102621,Sedan,12,Automatic Transmission,Gasoline,Silver, Dubai,"2009 mercedes-benz s-class with Sunroof, Adaptive cruise control, Navigation system, Bluetooth. Condition: Dented door."
ferrari,f12,2023,787890.0,144518,Coupe,12,Automatic Transmission,Gasoline,Red, Dubai,"2023 ferrari f12 with Bluetooth, Navigation system. Condition: Accident history."
mitsubishi,pajero,2007,29286.0,179026,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2007 mitsubishi pajero with Leather seats, Rear camera, Sunroof. Condition: Dented door."
jeep,grand-cherokee,2013,59652.0,255668,SUV,6,Automatic Transmission,Gasoline,White,Abu Dhabi,"2013 jeep grand-cherokee with Rear camera, Leather seats. Condition: Accident history."
bmw,1-series,2022,52861.0,196773,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2022 bmw 1-series with Rear camera, Adaptive cruise control. Condition: Accident history."
hyundai,sonata,2017,21238.0,152905,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2017 hyundai sonata with Leather seats, Navigation system, Sunroof. Condition: Dented door."
mercedes-benz,a200,2012,112449.0,45346,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2012 mercedes-benz a200 with Adaptive cruise control, Sunroof. Condition: Repainted bumper."
audi,a8,2022,18031.0,299610,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2022 audi a8 with Adaptive cruise control, Sunroof. Condition: Minor scratches."
nissan,patrol,2016,164531.0,188287,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2016 nissan patrol with Bluetooth, Navigation system. Condition: Engine repaired."
mercedes-benz,cls-class,2020,369527.0,170899,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2020 mercedes-benz cls-class with Sunroof, Navigation system, Leather seats, Adaptive cruise control. Condition: Engine repaired."
toyota,hilux,2006,127672.0,63370,Pick Up Truck,4,Automatic Transmission,Gasoline,Black, Dubai,"2006 toyota hilux with Rear camera, Bluetooth, Sunroof. Condition: Engine repaired."
ford,mustang,2005,122045.0,246940,Sports Car,8,Automatic Transmission,Gasoline,Grey, Dubai,"2005 ford mustang with Rear camera, Sunroof. Condition: Dented door."
land-rover,defender,2024,407821.0,160041,SUV,4,Manual Transmission,Diesel,Green, Dubai,"2024 land-rover defender with Navigation system, Bluetooth, Leather seats. Condition: Engine repaired."
mercedes-benz,e-class,2019,51371.0,78507,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2019 mercedes-benz e-class with Sunroof, Rear camera. Condition: Engine repaired."
ford,fiesta,2021,24699.0,219828,Hatchback,4,Automatic Transmission,Gasoline,Brown, Dubai,"2021 ford fiesta with Sunroof, Bluetooth, Navigation system, Leather seats. Condition: Engine repaired."
hyundai,sonata,2023,40488.0,172220,Sedan,4,Automatic Transmission,Gasoline,Red, Ajman,"2023 hyundai sonata with Bluetooth, Adaptive cruise control. Condition: Minor scratches."
land-rover,discovery-sport,2011,63333.0,170909,Crossover,Unknown,Automatic Transmission,Gasoline,Black, Dubai,"2011 land-rover discovery-sport with Leather seats, Adaptive cruise control, Sunroof, Rear camera. Condition: Dented door."
nissan,patrol,2006,79075.0,251123,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2006 nissan patrol with Rear camera, Adaptive cruise control, Sunroof. Condition: Repainted bumper."
audi,a5,2024,58150.0,183109,Hard Top Convertible,4,Automatic Transmission,Gasoline,White, Dubai,"2024 audi a5 with Rear camera, Adaptive cruise control, Sunroof. Condition: Dented door."
hyundai,elantra,2018,58135.0,53481,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2018 hyundai elantra with Rear camera, Adaptive cruise control. Condition: Accident history."
nissan,navara,2008,39499.0,221080,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2008 nissan navara with Bluetooth, Adaptive cruise control, Navigation system, Leather seats. Condition: Minor scratches."
jeep,grand-cherokee,2009,90314.0,109199,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2009 jeep grand-cherokee with Rear camera, Sunroof, Leather seats. Condition: Repainted bumper."
honda,pilot,2013,83729.0,236858,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2013 honda pilot with Sunroof, Navigation system. Condition: Dented door."
cadillac,ct4,2012,184476.0,258344,Sports Car,4,Automatic Transmission,Gasoline,Black, Dubai,"2012 cadillac ct4 with Adaptive cruise control, Leather seats. Condition: Accident history."
nissan,patrol,2010,132070.0,109315,SUV,6,Manual Transmission,Gasoline,Black, Abu Dhabi,"2010 nissan patrol with Sunroof, Bluetooth, Rear camera. Condition: Dented door."
jaguar,xe,2023,119703.0,111878,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 jaguar xe with Navigation system, Adaptive cruise control. Condition: Dented door."
land-rover,range-rover-sport,2024,52258.0,287672,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 land-rover range-rover-sport with Bluetooth, Leather seats, Adaptive cruise control, Sunroof. Condition: Minor scratches."
lexus,lx600,2007,632825.0,90418,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2007 lexus lx600 with Adaptive cruise control, Rear camera. Condition: Accident history."
ferrari,f8-tributo,2017,1052293.0,150351,Sports Car,8,Automatic Transmission,Gasoline,Red, Dubai,"2017 ferrari f8-tributo with Bluetooth, Leather seats. Condition: Dented door."
porsche,cayman,2016,245102.0,10541,Coupe,4,Automatic Transmission,Gasoline,Green, Dubai,"2016 porsche cayman with Sunroof, Navigation system, Leather seats, Adaptive cruise control. Condition: Repainted bumper."
toyota,tundra,2016,40752.0,180897,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2016 toyota tundra with Bluetooth, Rear camera, Adaptive cruise control. Condition: Accident history."
chevrolet,traverse,2010,75977.0,100773,SUV,6,Automatic Transmission,Gasoline,Other Color, Abu Dhabi,"2010 chevrolet traverse with Adaptive cruise control, Bluetooth, Leather seats, Navigation system. Condition: Accident history."
porsche,carrera,2006,269523.0,141959,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2006 porsche carrera with Navigation system, Sunroof. Condition: Repainted bumper."
lexus,rx-series,2017,182859.0,260790,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2017 lexus rx-series with Bluetooth, Navigation system. Condition: Engine repaired."
nissan,patrol,2011,80139.0,94183,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2011 nissan patrol with Leather seats, Navigation system, Rear camera. Condition: Repainted bumper."
mercedes-benz,g-class,2020,803639.0,37964,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2020 mercedes-benz g-class with Bluetooth, Navigation system, Sunroof. Condition: Accident history."
land-rover,defender,2024,699575.0,227550,SUV,6,Automatic Transmission,Gasoline,Green, Dubai,"2024 land-rover defender with Sunroof, Rear camera, Leather seats. Condition: No damage."
mercedes-benz,c-class,2008,78762.0,215458,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2008 mercedes-benz c-class with Adaptive cruise control, Rear camera, Sunroof, Bluetooth. Condition: No damage."
maserati,quattroporte,2013,212450.0,254379,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2013 maserati quattroporte with Leather seats, Bluetooth. Condition: Dented door."
hyundai,palisade,2020,148953.0,214921,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 hyundai palisade with Adaptive cruise control, Bluetooth. Condition: Repainted bumper."
audi,rs6,2010,1349414.0,221179,Hatchback,6,Automatic Transmission,Gasoline,Black, Dubai,"2010 audi rs6 with Leather seats, Sunroof. Condition: Dented door."
nissan,patrol,2005,443591.0,255237,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2005 nissan patrol with Adaptive cruise control, Bluetooth, Sunroof, Rear camera. Condition: Engine repaired."
lamborghini,urus,2015,1255821.0,13832,SUV,8,Automatic Transmission,Gasoline,Yellow, Dubai,"2015 lamborghini urus with Leather seats, Rear camera, Adaptive cruise control. Condition: Dented door."
toyota,tundra,2019,19560.0,195918,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Sharjah,"2019 toyota tundra with Bluetooth, Navigation system. Condition: No damage."
volkswagen,touareg,2005,226185.0,292415,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2005 volkswagen touareg with Rear camera, Bluetooth, Adaptive cruise control, Sunroof. Condition: Accident history."
infiniti,q80,2006,129449.0,208981,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2006 infiniti q80 with Rear camera, Leather seats, Navigation system, Bluetooth. Condition: Engine repaired."
mercedes-benz,c-class-coupe,2024,97977.0,155303,Coupe,4,Automatic Transmission,Gasoline,White, Sharjah,"2024 mercedes-benz c-class-coupe with Navigation system, Sunroof, Adaptive cruise control, Rear camera. Condition: No damage."
nissan,patrol,2011,256409.0,129433,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 nissan patrol with Bluetooth, Adaptive cruise control, Rear camera, Navigation system. Condition: Repainted bumper."
suzuki,baleno,2017,40754.0,50762,Hatchback,4,Automatic Transmission,Gasoline,Black, Dubai,"2017 suzuki baleno with Adaptive cruise control, Bluetooth, Sunroof, Navigation system. Condition: Dented door."
audi,q7,2022,20648.0,275873,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 audi q7 with Adaptive cruise control, Navigation system, Rear camera. Condition: Accident history."
mercedes-benz,amg,2020,32202.0,24633,Hard Top Convertible,8,Automatic Transmission,Gasoline,Gold, Dubai,"2020 mercedes-benz amg with Navigation system, Leather seats. Condition: Accident history."
ford,explorer,2017,19605.0,96172,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2017 ford explorer with Adaptive cruise control, Bluetooth. Condition: Minor scratches."
volkswagen,eos,2014,16135.0,27706,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2014 volkswagen eos with Rear camera, Sunroof, Navigation system. Condition: Dented door."
mercedes-benz,e-class,2013,141170.0,109780,Sedan,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2013 mercedes-benz e-class with Navigation system, Rear camera, Leather seats, Bluetooth. Condition: Repainted bumper."
mercedes-benz,s-class,2015,1164820.0,137991,Sedan,12,Automatic Transmission,Gasoline,Black, Dubai,"2015 mercedes-benz s-class with Leather seats, Adaptive cruise control, Navigation system, Rear camera. Condition: Dented door."
dodge,durango,2020,48662.0,175391,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2020 dodge durango with Adaptive cruise control, Leather seats, Bluetooth, Rear camera. Condition: Repainted bumper."
maybach,other,2007,1085047.0,141486,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2007 maybach other with Leather seats, Rear camera. Condition: No damage."
nissan,altima,2012,51513.0,239842,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2012 nissan altima with Navigation system, Adaptive cruise control, Rear camera. Condition: Accident history."
jeep,wrangler-unlimited,2023,332606.0,176873,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 jeep wrangler-unlimited with Adaptive cruise control, Rear camera, Leather seats. Condition: Dented door."
mitsubishi,pajero,2010,21267.0,129192,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2010 mitsubishi pajero with Adaptive cruise control, Navigation system. Condition: No damage."
mercedes-benz,s-class,2013,367857.0,28193,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2013 mercedes-benz s-class with Bluetooth, Rear camera. Condition: Minor scratches."
lexus,lx-series,2019,91536.0,116971,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2019 lexus lx-series with Sunroof, Bluetooth. Condition: Minor scratches."
mercedes-benz,cls-class,2024,54829.0,48212,Sedan,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2024 mercedes-benz cls-class with Leather seats, Adaptive cruise control. Condition: Repainted bumper."
mercedes-benz,c-class,2017,170476.0,93905,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2017 mercedes-benz c-class with Rear camera, Leather seats. Condition: Dented door."
audi,q3,2005,61837.0,149840,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2005 audi q3 with Adaptive cruise control, Leather seats. Condition: Minor scratches."
volkswagen,jetta,2024,43256.0,125459,Sedan,5,Automatic Transmission,Gasoline,White, Sharjah,"2024 volkswagen jetta with Navigation system, Rear camera, Leather seats, Adaptive cruise control. Condition: Accident history."
porsche,carrera,2018,116532.0,109187,Soft Top Convertible,6,Automatic Transmission,Gasoline,Grey, Dubai,"2018 porsche carrera with Rear camera, Bluetooth, Sunroof. Condition: Accident history."
hyundai,sonata,2013,57832.0,261744,Sedan,4,Automatic Transmission,Gasoline,Brown, Sharjah,"2013 hyundai sonata with Navigation system, Bluetooth, Rear camera. Condition: Minor scratches."
land-rover,range-rover,2024,170711.0,66486,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 land-rover range-rover with Rear camera, Sunroof. Condition: Repainted bumper."
jeep,cherokee,2015,24160.0,25772,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2015 jeep cherokee with Sunroof, Bluetooth. Condition: Dented door."
mercedes-benz,g-class,2022,1717188.0,93534,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 mercedes-benz g-class with Leather seats, Rear camera. Condition: Minor scratches."
bmw,8-series,2009,452699.0,282926,Coupe,6,Automatic Transmission,Gasoline,Black, Dubai,"2009 bmw 8-series with Sunroof, Bluetooth, Navigation system. Condition: No damage."
bmw,x5,2013,63260.0,223360,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 bmw x5 with Navigation system, Bluetooth. Condition: Dented door."
bmw,x7,2020,484612.0,29483,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2020 bmw x7 with Sunroof, Bluetooth, Leather seats. Condition: No damage."
nissan,pathfinder,2011,46097.0,243946,SUV,6,Automatic Transmission,Gasoline,Beige, Sharjah,"2011 nissan pathfinder with Adaptive cruise control, Sunroof, Navigation system, Bluetooth. Condition: Repainted bumper."
mercedes-benz,cls-class,2022,42427.0,237153,Sedan,6,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2022 mercedes-benz cls-class with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Dented door."
land-rover,defender,2012,401089.0,297089,SUV,4,Manual Transmission,Diesel,Green, Dubai,"2012 land-rover defender with Sunroof, Navigation system, Bluetooth, Adaptive cruise control. Condition: Dented door."
